,,Rule the Seven Seas - Control the most Lake Hexes,,,,,,,if final coin score is tied add 0.5 to the score of the player that won the tiebreaker,,,,,,,,,,,,,,,,,17,11,14
,,Polania Industrial,,Nordic Patriotic,,Togawa Innovative,,,if final challenge score is tied add 0.5 to the challenge score for game 3 ,,,,,,,,,,,,,,,,,,,
,,Wins: 17 ~ 40.48%,,Wins: 11 ~ 26.19%,,Wins: 14 ~ 33.33%,,,  for the tied player that used the least time in game 3,,,,,,,,,,,,,,,,,,,
,,Game 1,,,Game 2,,,Game 3,,,,,,,,,,,,,,,,,,,,
Group,Player Name,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Faction / Mat,Raw Score,Challenge Score,Game Wins,Challenge Total,Challenge Win,check,Total Round Points,,,,,,,,,,,,,
A,@Fllyingmustang#0521,Polania Industrial,70,1,Nordic Patriotic,52,2,Togawa Innovative,19,0,1,3,0,,1,,,,,,,,,,,,,
A,@Zottelschratz#4301,Nordic Patriotic,55,1,Togawa Innovative,65,1,Polania Industrial,66,2,2,4,1,,3,,,,,,,,,,,,,
A,@beansanddice#8663,Togawa Innovative,35,0,Polania Industrial,15,0,Nordic Patriotic,20,0,0,0,0,,0,,,,,,,,,,,,,
B,@Prince Ali #6242,Polania Industrial,44,2,Nordic Patriotic,64,1,Togawa Innovative,58,2,0,5,0,,0,,,,,,,,,,,,,
B,@EchoPapa#8173,Nordic Patriotic,61,2,Togawa Innovative,56,2,Polania Industrial,65,1,2,5.5,1,,3,,,,,,,,,,,,,
B,@Hugu#0328,Togawa Innovative,46,1,Polania Industrial,70,2,Nordic Patriotic,58,0,1,3,0,,1,,,,,,,,,,,,,
C,@salmondip#6802,Polania Industrial,50,0,Nordic Patriotic,31,0,Togawa Innovative,39,2,0,2,0,,0,,,,,,,,,,,,,
C,@donuhue#4249,Nordic Patriotic,47,0,Togawa Innovative,36,1,Polania Industrial,51,1,1,2,0,,1,,,,,,,,,,,,,
C,@JoyDivision#1722,Togawa Innovative,71,4,Polania Industrial,54,3,Nordic Patriotic,48,2,2,9,1,,3,,,,,,,,,,,,,
D,@AviDMeher#8869,Polania Industrial,83,0,Nordic Patriotic,78,1,Togawa Innovative,54,1,2,2,0,,2,,,,,,,,,,,,,
D,@_MR_MUNCH#0519,Nordic Patriotic,63,0,Togawa Innovative,55,3,Polania Industrial,77,2,1,5,1,,2,,,,,,,,,,,,,
D,@HeroofCanton#2106,Togawa Innovative,57,3,Polania Industrial,51,1,Nordic Patriotic,42,0,0,4,0,,0,,,,,,,,,,,,,
E,@thenobleknave (UTC-7)#5582,Polania Industrial,77,2,Nordic Patriotic,27,1,Togawa Innovative,52,2,1,5,0,,1,,,,,,,,,,,,,
E,@adityakarthik#3786,Nordic Patriotic,64,2,Togawa Innovative,33,0,Polania Industrial,37,0,0,2,0,,0,,,,,,,,,,,,,
E,@bbScythe#6377,Togawa Innovative,64,2,Polania Industrial,51,3,Nordic Patriotic,82,2,2,7,1,,3,,,,,,,,,,,,,
F,@FOMOF#2746,Polania Industrial,67,2,Nordic Patriotic,81,1,Togawa Innovative,96,4,2,7,1,,3,,,,,,,,,,,,,
F,@KingRob#0616,Nordic Patriotic,70,1,Togawa Innovative,50,2,Polania Industrial,77,2,1,5,0,,1,,,,,,,,,,,,,
F,@KennyRob#7347,Togawa Innovative,43,2,Polania Industrial,36,1,Nordic Patriotic,42,0,0,3,0,,0,,,,,,,,,,,,,
G,@Symphonous#0603,Polania Industrial,59,1,Nordic Patriotic,61,2,Togawa Innovative,66,3,2,6,1,,3,,,,,,,,,,,,,
G,@N00dles#1849,Nordic Patriotic,50,0,Togawa Innovative,44,3,Polania Industrial,60,2,0,5,0,,0,,,,,,,,,,,,,
G,@K̦lsch#3140,Togawa Innovative,92,5,Polania Industrial,39,0,Nordic Patriotic,41,0,1,5,0,,1,,,,,,,,,,,,,
H,@Gamer_Gid#8885,Polania Industrial,41,0,Nordic Patriotic,28,1,Togawa Innovative,54,0,0,1,0,,0,,,,,,,,,,,,,
H,@Plamax#6805,Nordic Patriotic,56,1,Togawa Innovative,29,1,Polania Industrial,52,2,0,4,1,,1,,,,,,,,,,,,,
H,@Mr. Der#8615,Togawa Innovative,56.5,1,Polania Industrial,63,0,Nordic Patriotic,61,1,3,2,0,,3,,,,,,,,,,,,,
I,@oh_bob_saget,Polania Industrial,37,0,Nordic Patriotic,40,0,Togawa Innovative,42,0,0,0,0,,0,,,,,,,,,,,,,
I,@Harryfan007#8759,Nordic Patriotic,62,0,Togawa Innovative,50,1,Polania Industrial,41,2,0,3,0,,0,,,,,,,,,,,,,
I,@dAy#5660,Togawa Innovative,87,3,Polania Industrial,85,4,Nordic Patriotic,63,3,3,10,1,,4,,,,,,,,,,,,,
J,@Northcreature#7047,Polania Industrial,40,3,Nordic Patriotic,62,0,Togawa Innovative,29,0,1,3,0,,1,,,,,,,,,,,,,
J,@kurtdog4#2549,Nordic Patriotic,45,1,Togawa Innovative,61,3,Polania Industrial,47,1,1,5,1,,2,,,,,,,,,,,,,
J,@JoeyTyke#9961,Togawa Innovative,45.5,2,Polania Industrial,50,1,Nordic Patriotic,27,0,1,3,0,,1,,,,,,,,,,,,,
K,@Zuelo#6778,Polania Industrial,68,2,Nordic Patriotic,69,0,Togawa Innovative,69,3,2,5,1,,3,,,,,,,,,,,,,
K,@poserLX#8403,Nordic Patriotic,49,1,Togawa Innovative,67,3,Polania Industrial,54,0,0,4,0,,0,,,,,,,,,,,,,
K,@Awedish#0420,Togawa Innovative,61,0,Polania Industrial,86,1,Nordic Patriotic,52,1,1,2,0,,1,,,,,,,,,,,,,
L,@smedley#2593,Polania Industrial,42.5,3,Nordic Patriotic,53,3,Togawa Innovative,57,3,1,9,1,,2,,,,,,,,,,,,,
L,@echostaffel#5263,Nordic Patriotic,67,4,Togawa Innovative,89,2,Polania Industrial,46,0,2,6,0,,2,,,,,,,,,,,,,
L,@snnaake43#4927,Togawa Innovative,42,0,Polania Industrial,58,0,Nordic Patriotic,26,0,0,0,0,,0,,,,,,,,,,,,,
M,@Totttthhh#7118,Polania Industrial,70,3,Nordic Patriotic,43,4,Togawa Innovative,71,1,2,8,1,,3,,,,,,,,,,,,,
M,@orangecaffeine2862,Nordic Patriotic,47,1,Togawa Innovative,60,1,Polania Industrial,44,0,1,2,0,,1,,,,,,,,,,,,,
M,@knuBBe#5283,Togawa Innovative,53,1,Polania Industrial,47,2,Nordic Patriotic,69,2,0,5,0,,0,,,,,,,,,,,,,
N,"@Fylkir Tarkus ""Black Iron""#3826",Polania Industrial,54,1,Nordic Patriotic,47,0,Togawa Innovative,38,0,0,1,0,,0,,,,,,,,,,,,,
N,@Nevic#8382,Nordic Patriotic,69,3,Togawa Innovative,72,3,Polania Industrial,79,2,3,8,1,,4,,,,,,,,,,,,,
N,@Halloworhorcrux#1548,Togawa Innovative,53,0,Polania Industrial,55,2,Nordic Patriotic,47,0,0,2,0,,0,,,,,,,,,,,,,